ISO639-3;word form;category;value;origin
als;milion;1;10^6;extraction
als;qindra herë;1;10^2;extraction
arb;ألف مرة;1;10^3;extraction, elicitation
arb;الف;1;10^3;extraction, elicitation
arb;الملايين;1;10^6;extraction
arb;ترليون;1;10^12;extraction
arb;جيليون;3a;;extraction
arb;دشليون;3a;;extraction
arb;زليون;3a;;extraction
arb;زيليون;3a;;extraction
arb;للمرة العاشرة;1;10;extraction
arb;مائة مرة;1;10^2;extraction
arb;مليون مرة;1;10^6;extraction
ben;ডজনেরও বেশী;2;12;extraction
bos;bazillion;3a;;extraction
bos;deseti;1;10;extraction
bos;milijun;1;10^6;extraction
bos;miljone;1;10^6;extraction
bos;sto;1;10^2;extraction
bos;stoti put;1;10^2;extraction
bos;zilion;3a;;extraction
bre;warn-ugent;1;20;extraction
bul;десети път;1;10;extraction
bul;ен-ти;5;;extraction
bul;енти;5;;extraction
bul;зилион;3a;;extraction
bul;зилиона;3a;;extraction
bul;милиард;1;10^9;extraction
bul;милион;1;10^6;extraction
bul;милионен;1;10^6;extraction
bul;сто пъти;1;10^2;extraction
bul;трилион;1;10^12;extraction
bul;хиляден;1;10^3;extraction
bul;хиляди пъти;1;10^3;extraction
cat;milions;1;10^6;extraction
ces;bambilion;3a;;extraction
ces;bambilionté;3a;;extraction
ces;bazilión;3a;;extraction
ces;biliardy;1;10^15;extraction
ces;bilion;1;10^12;extraction
ces;bilionů;1;10^12;extraction
ces;bůhvíkolikátý;6;;extraction
ces;bžilion;3a;;extraction
ces;bžilionkrát;3a;;extraction
ces;čtyřsté;1;400;extraction
ces;diliony;3a;;extraction
ces;gazilión;3a;;extraction
ces;ixté;5;;extraction
ces;miliardu;1;10^9;extraction
ces;milión;1;10^6;extraction
ces;milionkrát;1;10^6;extraction
ces;milionté;1;10^6;extraction
ces;miliony;1;10^6;extraction
ces;několikáté;6;;extraction
ces;padesátkrát;1;50;extraction
ces;stokrát;1;10^2;extraction
ces;tisící;1;10^3;extraction
ces;tisíckrát;1;10^3;extraction
ces;trilion;1;10^18;extraction
ces;trilionkrát;1;10^18;extraction
ces;triliony;1;10^18;extraction
ces;xté;5;;extraction
ces;zilión;3a;;extraction
ces;zilionkrát;3a;;extraction
ces;ziliónů;3a;;extraction
ces;zillion;3a;;extraction
cmn;N 次;5;;extraction
cmn;一千次;1;10^3;extraction
cmn;一百次;1;10^2;extraction
cmn;几亿 个;1;10^8;extraction
cmn;十萬八千;2;108 x 10^3;elicitation
dan;117;2;117;pilot
dan;10.000;1;10^4;pilot
dan;100 gange;1;10^2;pilot
dan;400. gang;1;400;pilot
dan;50;1;50;pilot
dan;50 gange;1;50;pilot
dan;billion;1;10^12;pilot
dan;dusiner;2;12;pilot
dan;fantasillion;3a;;extraction
dan;gajillion;3a;;extraction
dan;hundrede og syttende;2;117;pilot
dan;hundredesyttende;2;117;pilot
dan;milliard;1;10^9;extraction
dan;million;1;10^6;pilot
dan;syttende gang;2;17;pilot
dan;to og halvtreds;2;52;pilot
dan;trilliard;1;10^21;extraction
dan;trillion;1;10^18;extraction
dan;tusindvis;1;10^3;extraction
deu;1000;1;10^3;extraction, elicitation
deu;198;2;198;elicitation
deu;198sten Mal;2;198;elicitation
deu;bazillion;3a;;extraction
deu;billion;1;10^12;extraction
deu;drölf;3a;;elicitation
deu;drölfhundert;3b;;elicitation
deu;drölftausend;3b;;elicitation
deu;drölfzig;3b;;elicitation
deu;drölfzigtausend;3b;;elicitation
deu;hundert Mal;1;10^2;extraction
deu;hundertsten Mal;1;10^2;extraction
deu;Milliarden;1;10^9;extraction
deu;Millionen Mal;1;10^6;extraction
deu;tausend Mal;1;10^3;extraction, elicitation
deu;tausendsten;1;10^3;extraction, elicitation
deu;trillion;1;10^18;extraction
deu;Trillionen;1;10^18;extraction
deu;x-mal;5;;extraction, elicitation
deu;x-ten;5;;extraction, elicitation
deu;zig;3a;;extraction, elicitation
deu;zig Milliarden;3b;;extraction
deu;zig Millionen;3b;;extraction
deu;zigmal;3a;;extraction, elicitation
deu;zigmilliarden;3b;;extraction
deu;zigmillionen;3b;;extraction
deu;zigsten;3a;;extraction, elicitation
deu;zigtausend;3b;;extraction, elicitation
deu;zigtausende;3b;;extraction, elicitation
deu;zillion;3a;;extraction
ell;δέκατη φορά;1;10;extraction
ell;δισεκατομμύριο;1;10^9;extraction
ell;εκατό φορές;1;10^2;extraction
ell;εκατομμύρια;1;10^6;extraction
ell;εκατομμύριο;1;10^6;extraction
ell;εκατομμύριο φορές;1;10^6;extraction
ell;εκατοστή φορά;1;10^2;extraction
ell;μυριοστή φορά;1;10^4;extraction
ell;πολλοστή;6;;extraction
ell;τρισεκατομμύριο;1;10^12;extraction
ell;χιλιάδες φορές;1;10^3;extraction
ell;χίλιες φορές;1;10^3;extraction
ell;χιλιοστή φορά;1;10^3;extraction
eng;50;1;50;pilot
eng;157th;2;157;pilot
eng;17th time;2;17;pilot
eng;400th time;1;400;pilot
eng;46 times;2;46;pilot
eng;50th;1;50;pilot
eng;80 million;2;80 x 10^6;pilot
eng;bajillion;3a;;pilot
eng;billionth;1;10^9;extraction
eng;billionth time;1;10^9;extraction
eng;dozen;2;12;pilot
eng;fifteenth;2;15;pilot
eng;fifty-seventh;2;57;pilot
eng;gajillion;3a;;extraction
eng;gazillion;3a;;pilot
eng;gazillionth;3a;;pilot
eng;hundred;1;10^2;pilot
